time="2025-12-26 16:00:30" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-26 16:04:34" level=info msg="| 200 |       2.875ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:04:34" level=info msg="| 200 |  3.698266625s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:04:38" level=info msg="| 200 |    2.914625ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:04:41" level=info msg="| 200 |  6.820983083s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:04:42" level=info msg="| 200 |  4.334390584s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:04:45" level=info msg="| 200 |    2.538583ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:04:49" level=info msg="| 200 |       3.299ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:04:50" level=info msg="| 200 |  4.323951083s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:04:53" level=info msg="| 200 |  3.673591292s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:04:56" level=info msg="| 200 |    3.366084ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:04:59" level=info msg="| 200 |    5.696417ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:00" level=info msg="| 200 |  3.704063125s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:04" level=info msg="| 200 |     7.66625ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:04" level=info msg="| 200 |  4.780168584s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:05" level=info msg="| 200 |    5.897083ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:06" level=info msg="| 200 |    2.298708ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:08" level=info msg="| 200 |    4.8258975s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:10" level=info msg="| 200 |  4.748026042s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:13" level=info msg="| 200 |  6.807077125s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:13" level=info msg="| 200 |   11.049125ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:17" level=info msg="| 200 |    2.486459ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:17" level=info msg="| 200 |  3.591028167s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:20" level=info msg="| 200 |    3.287583ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:20" level=info msg="| 200 |  3.657302291s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:23" level=info msg="| 200 |     12.0405ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:26" level=info msg="| 200 |  5.955393167s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:27" level=info msg="| 200 |  3.679841625s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:31" level=info msg="| 200 |      3.6315ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:35" level=info msg="| 200 |    3.050334ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:36" level=info msg="| 200 |  4.821770042s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:39" level=info msg="| 200 |  3.742258916s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:43" level=info msg="| 200 |    5.559958ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:47" level=info msg="| 200 |    3.159417ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:48" level=info msg="| 200 |  4.259127333s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:51" level=info msg="| 200 |    3.528541ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:05:55" level=info msg="| 200 |  7.088241125s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:55" level=info msg="| 200 |  3.721335625s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:05:59" level=info msg="| 200 |    4.368042ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:03" level=info msg="| 200 |  3.744355166s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:06:03" level=info msg="| 200 |    2.225708ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:07" level=info msg="| 200 |    3.193458ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:11" level=info msg="| 200 |    1.341209ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:12" level=info msg="| 200 |  4.312651958s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:06:15" level=info msg="| 200 |       1.463ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:06:16" level=info msg="| 200 |  4.773250625s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:06:20" level=info msg="| 200 |    1.424041ms |             ::1 | GET | /livechat?user_id=agent |"
